job_title,similarity_score,location,job_url
AI / ML Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Network+engineer&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=3c930bf05b6e1322
O&M - Instrumentation Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Network+engineer&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=3c930bf05b6e1322
Senior Security Systems Administrator,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=cac8c60277c3957b&vjs=3
ASIC Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Network+engineer&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=3c930bf05b6e1322
QA Engineer  IMS,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Network+engineer&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=3c930bf05b6e1322
Staff Software Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Network+engineer&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=3c930bf05b6e1322
SOC Clock Lead - MTS Silicon Design Engineer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Network+engineer&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=3c930bf05b6e1322
"Software Engineer - Wireless, Ring",0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Network+engineer&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=3c930bf05b6e1322
Senior Oracle SCM Analyst,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Network+engineer&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=3c930bf05b6e1322
Principal Analyst - Oracle SCM,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Network+engineer&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=3c930bf05b6e1322
Global Subchapter Lead  External Experience,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Network+engineer&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=3c930bf05b6e1322
"SoC Power and Performance Lead, TPU, Google Cloud",0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=Network+engineer&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=3c930bf05b6e1322
Senior Developer,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=60741833733ac4a6&vjs=3
Linux System Administrator,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=15efefad0f94100e&vjs=3
Cybersecurity-CD&E-CyberArk Support - Associate 2-Bangalore,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=c10acff062dc6312&vjs=3
Business Development Manager - Telecom,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=product+development&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=074c663d0ced107e
Senior Lead Cybersecurity Architect - Threat modeling,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=9c7bc9e9d05dd28f&vjs=3
Cyber Security Analyst,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?jk=627dd90e0d4cd8d6&vjs=3
Identity Access Management,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=product+development&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=074c663d0ced107e
R&D Team Leader,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=product+development&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=074c663d0ced107e
Business Systems Analyst,0.0841354,"Bengaluru, Karnataka",https://in.indeed.com/jobs?q=product+development&l=Bengaluru%2C+Karnataka&from=searchOnDesktopSerp&vjk=074c663d0ced107e
